HITId;HITTypeId;Title;Description;Keywords;Reward;CreationTime;MaxAssignments;RequesterAnnotation;AssignmentDurationInSeconds;AutoApprovalDelayInSeconds;Expiration;NumberOfSimilarHITs;LifetimeInSeconds;AssignmentId;WorkerId;AssignmentStatus;AcceptTime;SubmitTime;AutoApprovalTime;ApprovalTime;RejectionTime;RequesterFeedback;WorkTimeInSeconds;LifetimeApprovalRate;Last30DaysApprovalRate;Last7DaysApprovalRate;Answer.surveycode;Approve;Reject
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;34MAJL3QP6RGWTAEX3YD10VMDSM43J;A3U21PUMQ6NGT2;Approved;Thu May 31 05:39:36 PDT 2018;Thu May 31 05:48:19 PDT 2018;Sun Jun 03 05:48:19 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;523;100% (1/1);100% (1/1);100% (1/1);336250955;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;37WLF8U1WRU07EMZ1XJRFKW2K5N6KQ;A2YWDJ41GY2QTD;Approved;Thu May 31 06:49:10 PDT 2018;Thu May 31 07:00:17 PDT 2018;Sun Jun 03 07:00:17 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;667;100% (1/1);100% (1/1);100% (1/1);445477194;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;39PAAFCODO4KPNRNWE5RS3ZXKBVTV0;AMPMTF5IAAMK8;Approved;Thu May 31 05:39:32 PDT 2018;Thu May 31 05:56:11 PDT 2018;Sun Jun 03 05:56:11 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;999;100% (1/1);100% (1/1);100% (1/1);732374721;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;3AMW0RGHOF69PQP7D6AGDC4N959NP9;A2LW2GSGDM72NX;Approved;Thu May 31 05:42:53 PDT 2018;Thu May 31 05:47:00 PDT 2018;Sun Jun 03 05:47:00 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;247;100% (1/1);100% (1/1);100% (1/1);816985694;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;3H8DHMCCWBFZSN1EBKR5LQ6U1R1DKG;A3SGR153YCJ1XN;Approved;Thu May 31 06:16:22 PDT 2018;Thu May 31 06:30:17 PDT 2018;Sun Jun 03 06:30:17 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;835;100% (1/1);100% (1/1);100% (1/1);620349756;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;3HSYG7LRBL276T7O31DSP31KL0ZKK1;A3LUBKV41WYBK3;Approved;Thu May 31 05:50:20 PDT 2018;Thu May 31 06:01:25 PDT 2018;Sun Jun 03 06:01:25 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;665;100% (1/1);100% (1/1);100% (1/1);709089358;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;3PXX5PX6LZ201DU8LXNAWMFYTUWBAT;ATTNJ2IHS8MH8;Rejected;Thu May 31 05:51:13 PDT 2018;Thu May 31 06:08:46 PDT 2018;Sun Jun 03 06:08:46 PDT 2018;;;;1053;0% (0/1);0% (0/1);0% (0/1);27b53843f8a4a597bda1129b4277bbc460b6445f5cecceaf453db036136f;;
3QD8LUVX4Y28LQOY4VJAOOUJQGP5XL;3VL3OSLWYH2H1D088QMAISAZAW01GT;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.40;Thu May 31 05:37:52 PDT 2018;9;BatchId:3252572;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 05:37:52 PDT 2018;3X08E93BHXMT8Z1AZTPQ51RKJAU66C;A39HSOL2DZIR2Y;Approved;Thu May 31 05:39:40 PDT 2018;Thu May 31 05:58:45 PDT 2018;Sun Jun 03 05:58:45 PDT 2018;Thu May 31 10:46:19 PDT 2018;;;1145;100% (1/1);100% (1/1);100% (1/1);118872043;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;31HQ4X3T3UEGEI2ETAYVVP59RUTSL5;AHDBHMH3AY1V2;Submitted;Thu May 31 07:17:12 PDT 2018;Thu May 31 07:46:15 PDT 2018;Sun Jun 03 07:46:15 PDT 2018;;;;1743;0% (0/0);0% (0/0);0% (0/0);688867044;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;32N49TQG3IMFARSEQEEAXY95WN2AVQ;A1AC6FP2BAJIOD;Submitted;Thu May 31 08:28:50 PDT 2018;Thu May 31 08:45:21 PDT 2018;Sun Jun 03 08:45:21 PDT 2018;;;;991;0% (0/0);0% (0/0);0% (0/0);A1AC6FP2BAJIOD;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3EKVH9QME084B7XOMEL1LUK0KRTD28;A3HFFCEJ22YZFV;Submitted;Thu May 31 07:17:13 PDT 2018;Thu May 31 07:24:29 PDT 2018;Sun Jun 03 07:24:29 PDT 2018;;;;436;0% (0/0);0% (0/0);0% (0/0);883272433;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3HRMW88U18U0JR0NKKGQLWEFW710MT;A36PRTZFECB76C;Submitted;Thu May 31 07:17:14 PDT 2018;Thu May 31 07:24:12 PDT 2018;Sun Jun 03 07:24:12 PDT 2018;;;;418;0% (0/0);0% (0/0);0% (0/0);660723088;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3HWRJOOET7628CSMCOBRIUFPIXSSEI;A31FYEC0E2LNAM;Submitted;Thu May 31 07:17:57 PDT 2018;Thu May 31 07:37:23 PDT 2018;Sun Jun 03 07:37:23 PDT 2018;;;;1166;0% (0/0);0% (0/0);0% (0/0);204701511;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3IXQG4FA2V2MWUK3TR9A0R4ENCRB9R;A24QKKLI2OVD1V;Submitted;Thu May 31 07:23:30 PDT 2018;Thu May 31 07:27:55 PDT 2018;Sun Jun 03 07:27:55 PDT 2018;;;;265;0% (0/0);0% (0/0);0% (0/0);802087207;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3U4J9857OGFIIBWAEUBQMVD8SM3B7F;A3OB6REG5CGHK1;Submitted;Thu May 31 07:50:03 PDT 2018;Thu May 31 07:59:22 PDT 2018;Sun Jun 03 07:59:22 PDT 2018;;;;559;0% (0/0);0% (0/0);0% (0/0);896915312;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3XXU1SWE8OZZHQRYNHQLC5JF2ROA0X;A1TML285XD4UZ7;Submitted;Thu May 31 08:23:25 PDT 2018;Thu May 31 08:39:15 PDT 2018;Sun Jun 03 08:39:15 PDT 2018;;;;950;0% (0/0);0% (0/0);0% (0/0);A1TML285XD4UZ7;;
341H3G5YF1IYVE2C871J4EE3H8DZ0S;31S093JAJ8F1R4PPLP57AME08IJWRI;A survey about your decisions made in 'games' and your preferences (+- 10 to 15 min.);The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games, questions about your preferences and 3 about demographics;games, preferences, tilburg university, survey;$0.50;Thu May 31 07:17:02 PDT 2018;9;BatchId:3252656;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 07:17:02 PDT 2018;3Y4W8Q93L1OD8YVQAO5CNZHBHPODVI;A2CF2BD4Q0ZDJN;Submitted;Thu May 31 07:41:13 PDT 2018;Thu May 31 08:00:39 PDT 2018;Sun Jun 03 08:00:39 PDT 2018;;;;1166;0% (0/0);0% (0/0);0% (0/0);675236709;;
3Z8UJEJOC0HF6FJWNWP3TOAH5IM93X;33SOUKKDKY4SNZVYX0ME6EAUDMVX1G;A survey about your decisions made in 'games' and your preferences (+- 12 min).;The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games and basic questions about your preferences and demographics;games, preferences, tilburg university, survey, Jeroen van Buren;$0.60;Thu May 31 09:36:00 PDT 2018;182;BatchId:3252931;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 09:36:00 PDT 2018;3J4Q2Z4UT07KCWZ05KGS907O7E2QWZ;A1BEBN58T1E0TH;Submitted;Thu May 31 09:46:57 PDT 2018;Thu May 31 09:50:31 PDT 2018;Sun Jun 03 09:50:31 PDT 2018;;;;214;0% (0/0);0% (0/0);0% (0/0);501390791;;
3Z8UJEJOC0HF6FJWNWP3TOAH5IM93X;33SOUKKDKY4SNZVYX0ME6EAUDMVX1G;A survey about your decisions made in 'games' and your preferences (+- 12 min).;The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games and basic questions about your preferences and demographics;games, preferences, tilburg university, survey, Jeroen van Buren;$0.60;Thu May 31 09:36:00 PDT 2018;182;BatchId:3252931;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 09:36:00 PDT 2018;3OJSZ2ATDU0GTVF1DKKDJ9DGIR557Y;AX8RDFKYAO9BX;Submitted;Thu May 31 09:39:34 PDT 2018;Thu May 31 09:43:09 PDT 2018;Sun Jun 03 09:43:09 PDT 2018;;;;215;0% (0/0);0% (0/0);0% (0/0);334079724;;
3Z8UJEJOC0HF6FJWNWP3TOAH5IM93X;33SOUKKDKY4SNZVYX0ME6EAUDMVX1G;A survey about your decisions made in 'games' and your preferences (+- 12 min).;The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games and basic questions about your preferences and demographics;games, preferences, tilburg university, survey, Jeroen van Buren;$0.60;Thu May 31 09:36:00 PDT 2018;182;BatchId:3252931;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 09:36:00 PDT 2018;3EFVCAY5L5DS08Z5CRGDYJSGBDU8J0;A2LL9PBMB6M1QC;Submitted;Thu May 31 11:04:04 PDT 2018;Thu May 31 11:07:53 PDT 2018;Sun Jun 03 11:07:53 PDT 2018;;;;229;0% (0/0);0% (0/0);0% (0/0);541437297;;
3Z8UJEJOC0HF6FJWNWP3TOAH5IM93X;33SOUKKDKY4SNZVYX0ME6EAUDMVX1G;A survey about your decisions made in 'games' and your preferences (+- 12 min).;The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games and basic questions about your preferences and demographics;games, preferences, tilburg university, survey, Jeroen van Buren;$0.60;Thu May 31 09:36:00 PDT 2018;182;BatchId:3252931;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 09:36:00 PDT 2018;3B2X28YI3YJZEBI5VK6YGHDCXCB6B5;A2H8GNSEVUJXYL;Submitted;Thu May 31 10:05:18 PDT 2018;Thu May 31 10:09:23 PDT 2018;Sun Jun 03 10:09:23 PDT 2018;;;;245;0% (0/0);0% (0/0);0% (0/0);34317924;;
3Z8UJEJOC0HF6FJWNWP3TOAH5IM93X;33SOUKKDKY4SNZVYX0ME6EAUDMVX1G;A survey about your decisions made in 'games' and your preferences (+- 12 min).;The purpose of the study is to understand human decision-making in simple games. The study is conducted for a research graduation project at Tilburg University. The survey consists out of 6 games and basic questions about your preferences and demographics;games, preferences, tilburg university, survey, Jeroen van Buren;$0.60;Thu May 31 09:36:00 PDT 2018;182;BatchId:3252931;OriginalHitTemplateId:920937340;;"1800""";259200;Thu Jun 07 09:36:00 PDT 2018;37UEWGM5HVCRNWYXLBG7L0RZ7NTR10;APXNY64HXO08K;Submitted;Thu May 31 09:38:55 PDT 2018;Thu May 31 09:43:24 PDT 2018;Sun Jun 03 09:43:24 PDT 2018;;;;269;0% (0/0);0% (0/0);0% (0/0);707249160;;
